StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS22965-054,D.K.Lai ApJ 681 1524 2008,22 06 30.30,-02 32 34.4,6205,3.73,-3.1,-3.09,0.03,0.16,0.11,,,,,,,,,,,<1.13,,,,,,,,,,057 38 53.14,-43 32 27.19,1034.25,1632.74,-1836.73,,,,
CS22966-057,P.Francois AAP 476 935 2007,23 48 57.76,-29 39 22.8,5300,2.2,-2.6,-2.62,,-0.05,,-0.23,,-0.02,,,,,,,,0.4,,,,,,,,,,018 50 17.75,-76 02 27.13,1697.63,579.186,-7216.12,,,,
CS22968-001,I.U.Roederer AJ 147 136 2014,02 57 50.90,-56 51 15.7,5940,3.65,-2.84,-3.12,0.21,-0.24,0.15,,,<0.85,,<3.12,,,,,,<1.32,,<3.11,,<2.56,,<2.91,,,,274 39 35.49,-52 46 29.16,110.219,-1352.22,-1785.76,5.971,-73.258,-96.746,121.5
CS22968-014,I.U.Roederer AJ 147 136 2014,03 06 29.51,-54 30 32.5,4540,0.6,-3.85,-3.99,0.15,-1.94,0.15,<-1.18,,<-0.21,,<2.19,,,,,,<0.06,,<1.15,,<1.24,,<1.72,,,,270 19 58.11,-53 12 31.12,78.094,-13444.4,-17977.5,0.553,-95.224,-127.331,159
CS22968-014,P.Francois AAP 476 935 2007,03 06 29.51,-54 30 32.5,4850,1.7,-3.5,-3.56,,-1.75,,<-1.35,,<-0.42,,,,,,,,<0.04,,,,,,,,,,270 19 58.11,-53 12 31.12,27.174,-4678.27,-6255.64,,,,
CS22968-026,I.U.Roederer AJ 147 136 2014,03 20 48.88,-55 38 16.0,5850,3.65,-2.33,-2.57,0.21,0.47,0.24,-0.08,0.18,0.48,0.16,<2.47,,,,,,0.83,0.2,<1.99,,,,<2.32,,,,,,,,,,,,
CS22968-029,I.U.Roederer AJ 147 136 2014,03 16 27.83,-55 05 00.2,5760,3.5,-3.11,-3.1,0.21,-0.2,0.18,<0.09,,<0.85,,<3.15,,,,,,<1.18,,<2.36,,<2.23,,<2.96,,,,,,,,,,,,
CS29491-053,P.Francois AAP 476 935 2007,22 36 56.30,-28 31 06.5,4700,1.3,-3,-3.04,,-0.19,,-0.28,,0.04,,,,,,,,-0.43,,,,,,,,,,022 18 16.10,-60 19 35.98,3607.52,1479.88,-6843.53,,,,
CS29493-023,I.U.Roederer AJ 147 136 2014,21 47 30.17,-27 55 06.9,5980,3.65,-2.66,-2.89,0.21,0.15,0.2,0.03,0.25,<0.91,,<2.74,,,,,,<1.1,,<2.35,,<2.16,,<2.77,,,,,,,,,,,,
CS29493-050,I.U.Roederer AJ 147 136 2014,21 49 26.67,-29 45 24.9,6270,3.8,-2.89,-2.92,0.22,0.17,0.2,<0.05,,<1.28,,<3.23,,,,,,<1.36,,<2.61,,<2.41,,<3.17,,,,,,,,,,,,
CS29493-062,I.U.Roederer AJ 147 136 2014,21 52 31.01,-28 09 37.2,5520,3.4,-2.59,-2.76,0.21,0.34,0.24,-0.01,0.17,0.52,0.16,<2.46,,,,,,0.48,0.26,<1.63,,<1.62,,<2.12,,,,,,,,,,,,
CS29493-094,I.U.Roederer AJ 147 136 2014,21 57 27.38,-30 08 02.9,6130,3.8,-2.44,-2.66,0.21,0.22,0.24,0,0.19,0.66,0.17,<2.7,,,,,,<1.05,,<2.32,,<2.17,,<2.72,,,,,,,,,,,,
CS29495-005,I.U.Roederer AJ 147 136 2014,21 32 49.20,-27 34 08.6,5990,3.75,-2.26,-2.44,0.2,0.44,0.24,-0.06,0.17,0.52,0.14,<2.41,,,,,,<0.85,,<1.8,,<1.61,,<2.26,,,,,,,,,,,,
CS29495-041,P.Francois AAP 476 935 2007,21 36 33.28,-28 18 48.6,4800,1.5,-2.8,-2.82,,-0.1,,-0.38,,-0.02,,,,,,,,-0.1,,,,,,,,,,019 33 33.46,-47 09 12.63,5180.42,1840.52,-5927.27,,,,
